Modelling confidence in railway safety case;52;TSF, UTC;2017;R.WANG; J.GUIOCHET; G.MOTET; W.SCHON;;
State of the art of network protocol reverse engineering tools ;72;TSF, INRIA Rennes;2017;J.DUCHENE; C.LE GUERNIC; E.ALATA; V.NICOMETTE; M.KAANICHE;
Reliability enhancement of redundancy management in AFDX networks;48;Ecole Montréal, TSF;2017;M.LI; G.ZHU; Y.SAVARIA; M.LAUER;;
DYNASCORE: DYNAmic Software COntroller to increase REsource utilization in mixed-critical systems;55;INRIA Rennes, TSF;2017;A.KRITIKAKOU; T.MARTY; M.ROY;;;
Online and scalable unsupervised network anomaly detection method ;66;SARA, TSF;2017;J.DROMARD; G.ROUDIERE; P.OWEZARSKI;;;
Quantifying interdependent privacy risks with location data ;71;EPFL, TSF, University of Texas, Max Planck;2017;A.M.OLTEANU; K.HUGUENIN; R.SHOKRI; M.HUMBERT; J.P.HUBAUX;
Architecting resilient computing systems: A component-based approach for adaptive fault tolerance ;67;ESOC, TSF;2017;M.STOICESCU; J.C.FABRE; M.ROY;;;
XPIR : Private information retrieval for everyone ;48;IRIT-ENSEEIHT, TSF, LJK;2016;C.AGUILAR-MELCHOR; J.BARRIER; L.FOUSSE; M.O.KILLIJIAN;;
Souk: Spatial Observation of hUman Kinetics ;55;TSF, IDEA;2016;M.O.KILLIJIAN; R.PASQUA; M.ROY; G.TREDAN; C.ZANON;
Meeting points in ridesharing: a privacy-preserving approach;59;TSF, UQAM, ROC;2016;U.M.AIVODJI; S.GAMBS; M.J.HUGUET; M.O.KILLIJIAN;;
SecureRun: cheat-proof and private summaries for location-based activities;79;EPFL, TSF, Google, Switzerland;2016;A.PHAM; K.HUGUENIN; I.BILOGREVIC; I.DACOSTA; J.P.HUBAUX;
Efficient and transparent Wi-Fi offloading for HTTP(S) POSTs;66;TSF, Technicolor France;2016;K.HUGUENIN; N.LE SCOUARNEC; E.LE MERRER; G.STRAUB;;
"Multi criteria d""cision making methodology for systems engineering";79;ISI, TSF, University of Waterl;2016;V.SHUKLA; G.AURIOL; K.W.HIPEL;;;
A machine-learning based approach to privacy-aware information-sharing in mobile social networks;70;Google, Switzerland, TSF, EPFL, Wichita State University;2016;I.BILOGREVIC; K.HUGUENIN; B.AGIR; M.JADLIWALA; M.GAZAKI; J.P.HUBAUX
Test languages for in-the-loop avionic tests;50;SPHEREA Test & Services, TSF, ONERA/DTIM;2015;A.GUDUVAN; H.WAESELYNCK; V.WIELS; G.DURRIEU; Y.FUSERO; M.SCHIEBER
Mapping applications on volatile resource;68;Hawaii, TSF, LIP, Lyon;2015;H.CASANOVA; F.DUFOSSE; Y.ROBERT; F.VIVIEN;;
